Warning: file 'Mem.hex' for memory 'rf' has a gap at addresses 524288 to 150994943.
Warning: RegFile 'top.mem_model.rf' -- Read address is out of bounds: 0xaaaaaaaaaaaaaaaa
================================================================
Bluespec RISC-V standalone system simulation v1.1
Copyright (c) 2017-2018 Bluespec, Inc. All Rights Reserved.
================================================================
================================================================
CPU: Bluespec  RISC-V  Piccolo  v3.0
Copyright (c) 2016-2018 Bluespec, Inc. All Rights Reserved.
================================================================
135: Mem_Controller.set_addr_map: addr_base 0x80000000 addr_lim 0x90000000
[[ 0x002c ]], halt: False, trap: False, insn:0x00300093, pc:0x8000b6e0, rd: 0x00001, rd_wdata:0x0000000000000003
[[ 0x002d ]], halt: False, trap: False, insn:0x00700113, pc:0x8000b6e4, rd: 0x00010, rd_wdata:0x0000000000000007
[[ 0x002e ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b6e8, rd: 0x11110, rd_wdata:0x000000000000000a
[[ 0x002f ]], halt: False, trap: False, insn:0x00a00e93, pc:0x8000b6ec, rd: 0x11101, rd_wdata:0x000000000000000a
[[ 0x0030 ]], halt: False, trap: False, insn:0x00400193, pc:0x8000b6f0, rd: 0x00011, rd_wdata:0x0000000000000004
[[ 0x0031 ]], halt: False, trap: False, insn:0x4bdf1c63, pc:0x8000b6f4, rd: 0x00000, rd_wdata:0x0000000000000000
[[ 0x0032 ]], halt: False, trap: False, insn:0x00000093, pc:0x8000b6f8, rd: 0x00001, rd_wdata:0x0000000000000000
[[ 0x0033 ]], halt: False, trap: False, insn:0xffff8137, pc:0x8000b6fc, rd: 0x00010, rd_wdata:0xffffffffffff8000
[[ 0x0034 ]], halt: False, trap: False, insn:0x00208f33, pc:0x8000b700, rd: 0x11110, rd_wdata:0xffffffffffff8000
[[ 0x0035 ]], halt: False, trap: False, insn:0xffff8eb7, pc:0x8000b704, rd: 0x11101, rd_wdata:0xffffffffffff8000
[[ 0x0036 ]], halt: False, trap: False, insn:0x00500193, pc:0x8000b708, rd: 0x00011, rd_wdata:0x0000000000000005
